Time, Approach, Target, Take
00:12:39, kosatka, sinsimito tequilla, $1436695
00:10:44, kosatka, bearer bonds, $1473775
00:11:26, kosatka, sinsimito tequilla, $1386188
00:09:51, kosatka, ruby necklace, $1473471
00:10:58, kosatka, sinsimito tequilla, $1351809
00:10:50, kosatka, ruby necklace, $1541482
00:10:05, kosatka, sinsimito tequilla, $1400070
00:10:54, kosatka, sinsimito tequilla, $1376039
00:11:53, kosatka, ruby necklace, $1485953
00:10:17, kosatka, bearer bonds, $1626564
00:10:58, kosatka, ruby necklace, $1540685
00:12:31, kosatka, pink diamond, $1742157
00:09:29, kosatka, bearer bonds, $1603767
00:14:02, kosatka, bearer bonds, $1567255
00:10:15, kosatka, ruby necklace, $1495652
00:08:38, kosatka, sinsimito tequilla, $1413543
00:11:31, kosatka, sinsimito tequilla, $1381686
00:09:28, kosatka, ruby necklace, $1506666
00:13:23, kosatka, pink diamond, $1640302
00:09:55, kosatka, bearer bonds, $1391658
00:10:13, kosatka, sinsimito tequilla, $1363596
00:09:53, kosatka, ruby necklace, $1487623
00:11:55, kosatka, pink diamond, $1759645
00:12:00, kosatka, sinsimito tequilla, $1179894
00:09:58, kosatka, ruby necklace, $1459948
00:09:32, kosatka, bearer bonds, $1552326
00:11:09, kosatka, sinsimito tequilla, $1393277
00:14:58, kosatka, bearer bonds, $1590469
00:09:34, kosatka, bearer bonds, $1592050
00:13:49, kosatka, pink diamond, $1773860
00:09:57, kosatka, ruby necklace, $1497720
00:13:03, kosatka, sinsimito tequilla, $1388472
00:10:11, kosatka, pink diamond, $1834897
00:09:08, kosatka, sinsimito tequilla, $1372690
00:09:42, kosatka, bearer bonds, $1544328
00:11:01, kosatka, sinsimito tequilla, $1365266
00:12:08, kosatka, pink diamond, $1782139
00:10:04, kosatka, bearer bonds, $1548540
00:10:21, kosatka, pink diamond, $1753503
00:10:27, kosatka, bearer bonds, $1561681
00:10:08, kosatka, pink diamond, $1784475
00:13:02, kosatka, sinsimito tequilla, $1376734
00:09:46, kosatka, bearer bonds, $1519260
00:09:15, kosatka, sinsimito tequilla, $1323099
00:13:09, kosatka, bearer bonds, $1553401
00:10:03, kosatka, bearer bonds, $1368856
00:10:12, kosatka, ruby necklace, $1488206
00:09:24, kosatka, bearer bonds, $1561741
00:09:50, kosatka, bearer bonds, $1297298
00:13:23, kosatka, sinsimito tequilla, $1347691
00:12:23, kosatka, bearer bonds, $1494295
00:09:38, kosatka, sinsimito tequilla, $1407794
00:09:53, kosatka, pink diamond, $1776116
00:10:30, kosatka, pink diamond, $1804149
00:09:18, kosatka, sinsimito tequilla, $1273489
00:09:24, kosatka, sinsimito tequilla, $1367167
00:10:44, kosatka, pink diamond, $1764222
00:10:14, kosatka, bearer bonds, $1576945
00:11:46, kosatka, sinsimito tequilla, $1373034
00:10:31, kosatka, bearer bonds, $1560498
00:09:56, kosatka, sinsimito tequilla, $1380847
00:11:58, kosatka, pink diamond, $1720237
00:11:34, kosatka, sinsimito tequilla, $1267252
00:10:04, kosatka, sinsimito tequilla, $1372843
00:09:38, kosatka, ruby necklace, $1485336
